                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3237,                 3.7028,                 4.2352,                0.00304,                0.63095,                  0.012,                0.00357,                 3.1685,                 4.0159,                 4.1498,                 0.0004,                 0.0004,                 0.0004
                      2,                  3.311,                 3.5893,                 4.1007,                0.00299,                0.63095,                0.02175,                0.00623,                 3.0977,                 3.9487,                 4.0947,             0.00080647,             0.00080647,             0.00080647
                      3,                 3.2106,                 3.5141,                 3.9004,                0.00295,                0.61905,                0.00986,                0.00261,                  3.424,                 3.9341,                 4.3741,              0.0011991,              0.0011991,              0.0011991
                      4,                 3.1082,                 3.4303,                 3.7003,                0.00391,                0.59524,                0.03835,                0.01573,                 3.4964,                 4.1394,                 5.2724,              0.0015778,              0.0015778,              0.0015778
                      5,                 2.9567,                 3.4293,                 3.5048,                0.01978,                0.02381,                0.01909,                0.00643,                 3.4042,                 3.7446,                 4.2964,               0.001868,               0.001868,               0.001868
                      6,                 2.9427,                  3.382,                 3.4114,                 0.0176,                0.17857,                0.00991,                0.00275,                 3.2378,                 16.129,                 5.5336,               0.001868,               0.001868,               0.001868
                      7,                  2.975,                 3.3016,                 3.3427,                0.02292,                0.07143,                0.01162,                0.00328,                 2.9757,                 5.6948,                 3.6482,               0.001835,               0.001835,               0.001835
                      8,                 2.8843,                 3.2981,                 3.2776,                0.02697,                0.22619,                0.02974,                0.00687,                 2.9912,                 50.332,                 4.1992,               0.001802,               0.001802,               0.001802
                      9,                 2.8828,                 3.2259,                  3.213,                0.03523,                0.13095,                0.01477,                0.00443,                  2.779,                 30.212,                  3.347,               0.001769,               0.001769,               0.001769
                     10,                 2.7919,                  3.184,                 3.1491,                0.06518,                0.15476,                0.04983,                0.01296,                 2.7206,                 4.1853,                 3.3088,               0.001736,               0.001736,               0.001736
                     11,                 2.7498,                 3.1788,                 3.1221,                0.08676,                   0.25,                0.05674,                0.01411,                 2.6357,                 4.3207,                 3.1244,               0.001703,               0.001703,               0.001703
